#ID,Turn,Target,Dialog,Left,Right,Text,Voice
1,1,마법 지팡이,안녕 은하야! 만나고 싶었어!,16,3,2,9
1,2,은하,지팡이가…말을?!,17,12,1,6
1,3,마법 지팡이,"너와 즐겁게 이야기를 나누고 싶지만, 지금은 급한 상황이라서 짧게 설명할게!",16,13,2,10
1,4,마법 지팡이,침대에 누워서 잠에 든 것 까진 기억나? 여긴 너의 꿈 속이야!,16,13,2,0
1,5,None,(주변을 둘러본 은하는 놀란 얼굴을 했다),17,13,2,0
2,1,은하,섬들이 떠다니고 있어….,17,12,1,6
2,2,마법 지팡이,섬들이 떠다니는게 신기하지? 리리스라고 불리는 악마가 만들어낸 것들이야.,16,7,2,11
2,3,마법 지팡이,리리스는 너의 꿈을 차지하려고 하고있어!,16,7,2,0
2,4,은하,꿈? 꿈이라면 그냥 주는것도….,17,6,1,0
2,5,마법 지팡이,안돼 은하야!,16,7,2,10
2,6,은하,어째서…?,17,12,1,0
2,7,마법 지팡이,"리리스에게 꿈을 줘버리면, 은하는 꿈에서 나갈 수 없어!",16,3,2,11
2,8,마법 지팡이,꿈속에 널 가두고 현실의 몸까지 차지하려고 할거야!,16,3,2,0
2,9,은하,(은하는 매우 놀란 듯 하다),17,12,1,6
2,10,마법 지팡이,하지만 괜찮아! 아직까지는 은하가 '꿈의 주인' 이야!,16,7,2,8
2,11,마법 지팡이,"리리스가 뺏어가고 있는 '영향력'을 되찾는다면, 충분히 이길 수 있어!",16,7,2,0
2,12,은하,내가…할 수 있을까? 상대는 악마잖아?,17,0,1,3
2,13,마법 지팡이,괜찮아! 내가 늘 지켜봤던 은하는 이정도에 지지 않아!,16,1,2,8
2,14,마법 지팡이,너에겐 이루고 싶은 꿈이 있잖아! 여기서 멈출거야?,16,1,2,7
2,15,은하,….,17,2,1,0
2,16,은하,아니! ,17,4,1,0
2,17,마법 지팡이,그래! 어서 리리스를 찾아서 꿈의 주인이 누군지 알려주자!,16,3,2,11
2,18,마법 지팡이,출발할까?,16,3,2,0
2,19,은하,응! ….,17,4,1,0
3,1,은하,"자신있게 말하긴 했는데, 어떻게 싸워야 하는거지…?",17,6,1,0
3,2,마법 지팡이,"걱정마! 꿈에서는 뭐든지 할 수 있다는 말, 들어봤지?",16,3,2,8
3,3,마법 지팡이,은하가 생각하는 악과 싸우는 이미지가 네 모습으로 나타날거야,16,3,2,0
3,4,은하,어? 그러고 보니 내 모습을 볼 생각을 못 했네.,17,6,1,0
3,5,은하,내 모습이…윽! ,17,8,1,6
3,6,은하,(은하는 자신의 모습을 보고 부끄러워 한다),17,8,1,0
3,7,마법 지팡이,기억나지? 그 모습은 은하가 어린시절에 꿈꿨던 마법소ㄴ…,16,9,2,8
3,8,은하,으아아앗! 알겠어! 거기까지만 해도 돼! 어서 리리스를 찾으러 가자!,17,8,1,6
3,9,마법 지팡이,그럼 간단하게 조작에 대해 설명해줄게,16,7,2,9
3,10,마법 지팡이,화면에 표시된 키들을 눌러 이동과 대쉬를 사용해보자.,16,7,2,0
4,1,마법 지팡이,"잘했어, 은하야!",16,7,2,9
4,2,마법 지팡이,이번엔 전투를 배워볼까?,16,7,2,0
4,3,마법 지팡이,"더미를 만들어 줄 테니까, 마음껏 공격해봐!",16,7,2,0
5,1,마법 지팡이,잘하는데 은하야?,16,7,2,10
5,2,은하,고마워 지팡아!,17,6,2,5
5,3,마법 지팡이,이제 싸우기에 충분한 것 같아!,16,7,2,8
5,4,마법 지팡이,더 연습하고 싶다면 남아서 연습해도 좋아.,16,7,2,0
5,5,마법 지팡이,"준비가 끝나면 포탈로 들어가 ""영향력""을 찾으러 가자!",16,7,2,0
5,6,은하,"응, 꿈을 되찾는거야!",17,6,2,0
6,1,마법 지팡이,은하야! 이제 리리스와 싸우기에 충분한 영향력이 모인 것 같아.,16,3,2,8
6,2,마법 지팡이,"하지만 아직 시간이 있으니까, 남은 몬스터를 물리치면서 더욱 강해질 수 있어!",16,7,2,0
6,3,은하,여기서 더 강해질 수 있어?,17,10,1,5
6,4,마법 지팡이,응! 리리스는 꽤 강하니까 힘을 모아두면 좋을거야!,16,7,2,9
6,5,은하,알려줘서 고마워 지팡아!,17,10,1,0
7,1,마법 지팡이,"은하야, 이제 리리스를 물리칠 시간이 됐어!",16,7,2,9
7,2,은하,벌써 시간이….,17,12,1,0
7,3,마법 지팡이,"걱정하지마, 지금까지 잘 해왔잖아? 그리고 나도 있고 말이야!",16,3,2,7
7,4,마법 지팡이,내가 지켜본 은하는 뭐든지 해낼 수 있어!,8,3,2,0
7,5,은하,정말 지금의 나로…해낼 수 있을까?,17,0,1,3
7,6,마법 지팡이,있을까'가 아니야! 해낼 수'있어'! ,16,7,2,11
7,7,은하,맞아 할 수 있어! 해야만 해! 고마워 지팡아 이제 됐어 포탈을 열어줘!,17,4,1,0
7,8,마법 지팡이,좋았어! 그럼 리리스에게로 가는 포탈을 열게!,6,3,2,8
8,1,리리스,드디어 쓸데없는 저항은 그만두고 항복하러 오셨나요?,20,3,0,12
8,2,마법 지팡이,"리리스! 그만 은하를 놔줘! 은하야, 저기 있는 녀석이 리리스야!",19,14,2,10
8,3,은하,"리리스, 어째서 내 꿈을 가지려고 하는거야!",19,4,1,2
8,4,리리스,"후훗, 너무 당연한걸 질문 하시는군요.",20,3,0,0
8,5,리리스,"맛있는 '절망'의 냄새가 나서, 식사를 하러 온 것 뿐이에요.",20,3,0,0
8,6,리리스,나쁜 뜻이 있어서 그런건 아니랍니다?,20,3,0,0
8,7,은하,식사라고? 사람의 꿈과 자아를 뺏어가는게?,19,4,1,2
8,8,리리스,후후훗… 식사하는데 방해하지 말아주실까요?,20,3,0,0
8,9,마법 지팡이,"은하야, 악마에게는 인간의 상식이 통하지 않아…다른 방법이 없어 보여.",19,14,2,7
8,10,리리스,"하아암, 지루하네요. 당신들은 디저트로 먹어드리죠. 어디 덤벼보세요!",20,3,0,12
8,11,마법 지팡이,은하야! 준비해!,19,14,2,8
8,12,은하,응!,19,4,1,0
